2025-05-30 07:22:12,137 - INFO - [EstoquePage.__init__] Iniciando EstoquePage... [_log | meu_logger]
2025-05-30 07:22:12,146 - INFO - [EstoqueModel.__init__] EstoqueModel inicializado. [_log | meu_logger]
2025-05-30 07:22:12,147 - INFO - [RodapePaginacao.__init__] RodapePaginacao inicializado. [_log | meu_logger]
2025-05-30 07:22:12,147 - DEBUG - [RodapePaginacao.__init__] Total de páginas definido: None [_log | meu_logger]
2025-05-30 07:22:12,148 - INFO - [EstoquePageView.__init__] EstoquePageView inicializado. [_log | meu_logger]
2025-05-30 07:22:12,149 - INFO - [EstoquePageController.__init__] EstoquePageController inicializado. [_log | meu_logger]
2025-05-30 07:22:12,150 - INFO - [EstoquePage.__init__] EstoquePageController criado com sucesso. [_log | meu_logger]
2025-05-30 07:22:12,150 - DEBUG - [EstoquePage.start] Método start() chamado. Exibindo view do estoque. [_log | meu_logger]
2025-05-30 07:22:12,151 - DEBUG - [EstoquePageController.exibir_view_estoque] Exibindo view_estoque. [_log | meu_logger]
2025-05-30 07:22:12,151 - DEBUG - [EstoquePageController.carregar_dados_estoque] Buscando dados de produtos no model. [_log | meu_logger]
2025-05-30 07:22:12,151 - DEBUG - [EstoqueDataHandler.listar_produtos_paginados] Chamando listar_produtos() com: Página=1, Quantidade=20, OrdenarPor=None, Filtros=None [_log | meu_logger]
2025-05-30 07:22:12,804 - DEBUG - [EstoqueModel.get_colunas_produto] Buscando colunas da tabela 'produto'. [_log | meu_logger]
2025-05-30 07:22:12,879 - DEBUG - [EstoqueModel.get_colunas_produto] Colunas encontradas: ['id', 'nome', 'descricao', 'preco', 'quantidade', 'tipo'] [_log | meu_logger]
2025-05-30 07:22:12,879 - INFO - [EstoquePageView.alimentar_Dados] Atualizando dados da tabela... [_log | meu_logger]
2025-05-30 07:22:12,888 - DEBUG - [EstoquePageView.alimentar_Dados] Headers: ['id', 'nome', 'descricao', 'preco', 'quantidade', 'tipo'] [_log | meu_logger]
2025-05-30 07:22:12,888 - DEBUG - [EstoquePageView.alimentar_Dados] Total de linhas: 20 [_log | meu_logger]
2025-05-30 07:22:12,889 - INFO - [EstoquePageView.create_view_estoque] Construindo view de estoque... [_log | meu_logger]
2025-05-30 07:22:12,891 - DEBUG - [RodapePaginacao.build] Chamando build() do RodapePaginacao. [_log | meu_logger]
