2025-06-25 14:41:03,558 - INFO - [EstoquePage.__init__] Iniciando EstoquePage... [_log | meu_logger]
2025-06-25 14:41:03,561 - INFO - [EstoqueModel.__init__] EstoqueModel inicializado. [_log | meu_logger]
2025-06-25 14:41:03,563 - DEBUG - [RodapePaginacao.set_callback] Callback definido: None [_log | meu_logger]
2025-06-25 14:41:03,563 - INFO - [RodapePaginacao.__init__] RodapePaginacao inicializado [_log | meu_logger]
2025-06-25 14:41:03,564 - INFO - [EstoquePageView.__init__] EstoquePageView inicializada [_log | meu_logger]
2025-06-25 14:41:03,565 - INFO - [EstoquePageController._initialize_handlers] Handlers inicializados com sucesso [_log | meu_logger]
2025-06-25 14:41:03,568 - DEBUG - [RodapePaginacao.set_callback] Callback definido: <bound method EstoquePageController.carregar_dados_estoque of <controller.estoque.controller_page_estoque.EstoquePageController object at 0x000002B11746A030>> [_log | meu_logger]
2025-06-25 14:41:03,568 - INFO - [EstoquePage.__init__] EstoquePageController criado com sucesso. [_log | meu_logger]
2025-06-25 14:41:03,782 - DEBUG - [EstoqueModel.get_colunas_produto] Buscando colunas da tabela 'produto'. [_log | meu_logger]
2025-06-25 14:41:03,829 - DEBUG - [EstoqueModel.get_colunas_produto] Colunas encontradas: ['id', 'nome', 'descricao', 'preco_total', 'quantidade', 'custo_unitario', 'tipo'] [_log | meu_logger]
2025-06-25 14:41:03,830 - INFO - [EstoquePageView.alimentar_Dados] Alimentando tabela com 20 registros [_log | meu_logger]
2025-06-25 14:41:03,841 - DEBUG - [EstoquePageView.alimentar_Dados] Headers: ['id', 'nome', 'descricao', 'preco_total', 'quantidade', 'custo_unitario', 'tipo'] [_log | meu_logger]
2025-06-25 14:41:03,841 - DEBUG - [EstoquePageView.alimentar_Dados] Total de linhas: 20 [_log | meu_logger]
2025-06-25 14:41:03,841 - ERROR - [EstoquePageController._handle_error] Erro atualizando view: 'NoneType' object has no attribute 'value' [_log | meu_logger]
2025-06-25 14:41:03,842 - INFO - [EstoquePageView.create_view_estoque] Construindo view completa do estoque [_log | meu_logger]
2025-06-25 14:41:03,859 - DEBUG - [EstoqueDataHandler.listar_produtos_paginados] Retornando dados do cache [_log | meu_logger]
2025-06-25 14:41:03,860 - DEBUG - [EstoquePage._log_initial_data] Dados iniciais carregados: [{'id': 49, 'nome': 'Ggggggggg', 'descricao': '', 'preco_total': Decimal('0.00'), 'quantidade': 1, 'custo_unitario': None, 'tipo': 'unidade'}]... [_log | meu_logger]
2025-06-25 14:42:06,179 - INFO - [EstoqueModel.close] Conexão com o banco de dados fechada. [_log | meu_logger]
2025-06-25 14:42:06,181 - INFO - [EstoqueModel.__del__] EstoqueModel destruído e conexão fechada. [_log | meu_logger]
2025-06-25 14:42:23,907 - INFO - [EstoquePage.__init__] Iniciando EstoquePage... [_log | meu_logger]
2025-06-25 14:42:23,910 - INFO - [EstoqueModel.__init__] EstoqueModel inicializado. [_log | meu_logger]
2025-06-25 14:42:23,911 - DEBUG - [RodapePaginacao.set_callback] Callback definido: None [_log | meu_logger]
2025-06-25 14:42:23,912 - INFO - [RodapePaginacao.__init__] RodapePaginacao inicializado [_log | meu_logger]
2025-06-25 14:42:23,913 - INFO - [EstoquePageView.__init__] EstoquePageView inicializada [_log | meu_logger]
2025-06-25 14:42:23,914 - INFO - [EstoquePageController._initialize_handlers] Handlers inicializados com sucesso [_log | meu_logger]
2025-06-25 14:42:23,914 - DEBUG - [RodapePaginacao.set_callback] Callback definido: <bound method EstoquePageController.carregar_dados_estoque of <controller.estoque.controller_page_estoque.EstoquePageController object at 0x000001A80285C530>> [_log | meu_logger]
2025-06-25 14:42:23,914 - INFO - [EstoquePage.__init__] EstoquePageController criado com sucesso. [_log | meu_logger]
2025-06-25 14:42:23,962 - DEBUG - [EstoqueModel.get_colunas_produto] Buscando colunas da tabela 'produto'. [_log | meu_logger]
2025-06-25 14:42:23,983 - DEBUG - [EstoqueModel.get_colunas_produto] Colunas encontradas: ['id', 'nome', 'descricao', 'preco_total', 'quantidade', 'custo_unitario', 'tipo'] [_log | meu_logger]
2025-06-25 14:42:23,983 - INFO - [EstoquePageView.alimentar_Dados] Alimentando tabela com 20 registros [_log | meu_logger]
2025-06-25 14:42:23,995 - DEBUG - [EstoquePageView.alimentar_Dados] Headers: ['id', 'nome', 'descricao', 'preco_total', 'quantidade', 'custo_unitario', 'tipo'] [_log | meu_logger]
2025-06-25 14:42:23,995 - DEBUG - [EstoquePageView.alimentar_Dados] Total de linhas: 20 [_log | meu_logger]
2025-06-25 14:42:23,995 - ERROR - [EstoquePageController._handle_error] Erro atualizando view: 'NoneType' object has no attribute 'value' [_log | meu_logger]
2025-06-25 14:42:23,996 - INFO - [EstoquePageView.create_view_estoque] Construindo view completa do estoque [_log | meu_logger]
2025-06-25 14:42:24,011 - DEBUG - [EstoqueDataHandler.listar_produtos_paginados] Retornando dados do cache [_log | meu_logger]
2025-06-25 14:42:24,011 - DEBUG - [EstoquePage._log_initial_data] Dados iniciais carregados: [{'id': 49, 'nome': 'Ggggggggg', 'descricao': '', 'preco_total': Decimal('0.00'), 'quantidade': 1, 'custo_unitario': None, 'tipo': 'unidade'}]... [_log | meu_logger]
2025-06-25 14:43:32,979 - INFO - [ReceitasPage.__init__] Iniciando ReceitasPage... [_log | meu_logger]
2025-06-25 14:43:32,982 - DEBUG - [RodapePaginacao.set_callback] Callback definido: None [_log | meu_logger]
2025-06-25 14:43:32,982 - INFO - [RodapePaginacao.__init__] RodapePaginacao inicializado [_log | meu_logger]
2025-06-25 14:43:32,983 - INFO - [ReceitasPageView.__init__] ReceitasPageView inicializada [_log | meu_logger]
2025-06-25 14:46:38,562 - INFO - [ReceitasPage.__init__] Iniciando ReceitasPage... [_log | meu_logger]
2025-06-25 14:46:38,565 - DEBUG - [RodapePaginacao.set_callback] Callback definido: None [_log | meu_logger]
2025-06-25 14:46:38,565 - INFO - [RodapePaginacao.__init__] RodapePaginacao inicializado [_log | meu_logger]
2025-06-25 14:46:38,567 - INFO - [ReceitasPageView.__init__] ReceitasPageView inicializada [_log | meu_logger]
2025-06-25 14:48:10,137 - INFO - [ReceitasPage.__init__] Iniciando ReceitasPage... [_log | meu_logger]
2025-06-25 14:48:10,140 - DEBUG - [RodapePaginacao.set_callback] Callback definido: None [_log | meu_logger]
2025-06-25 14:48:10,141 - INFO - [RodapePaginacao.__init__] RodapePaginacao inicializado [_log | meu_logger]
2025-06-25 14:48:10,142 - INFO - [ReceitasPageView.__init__] ReceitasPageView inicializada [_log | meu_logger]
2025-06-25 14:54:08,910 - INFO - [ReceitasPage.__init__] Iniciando ReceitasPage... [_log | meu_logger]
2025-06-25 14:54:08,922 - DEBUG - [RodapePaginacao.set_callback] Callback definido: None [_log | meu_logger]
2025-06-25 14:54:08,922 - INFO - [RodapePaginacao.__init__] RodapePaginacao inicializado [_log | meu_logger]
2025-06-25 14:54:08,923 - INFO - [ReceitasPageView.__init__] ReceitasPageView inicializada [_log | meu_logger]
2025-06-25 14:54:42,832 - INFO - [ReceitasPage.__init__] Iniciando ReceitasPage... [_log | meu_logger]
2025-06-25 14:54:42,834 - DEBUG - [RodapePaginacao.set_callback] Callback definido: None [_log | meu_logger]
2025-06-25 14:54:42,834 - INFO - [RodapePaginacao.__init__] RodapePaginacao inicializado [_log | meu_logger]
2025-06-25 14:54:42,835 - INFO - [ReceitasPageView.__init__] ReceitasPageView inicializada [_log | meu_logger]
2025-06-25 14:55:36,558 - INFO - [ReceitasPage.__init__] Iniciando ReceitasPage... [_log | meu_logger]
2025-06-25 14:55:36,563 - DEBUG - [RodapePaginacao.set_callback] Callback definido: None [_log | meu_logger]
2025-06-25 14:55:36,563 - INFO - [RodapePaginacao.__init__] RodapePaginacao inicializado [_log | meu_logger]
2025-06-25 14:55:36,564 - INFO - [ReceitasPageView.__init__] ReceitasPageView inicializada [_log | meu_logger]
2025-06-25 14:57:07,887 - INFO - [ReceitasPage.__init__] Iniciando ReceitasPage... [_log | meu_logger]
2025-06-25 14:57:07,890 - DEBUG - [RodapePaginacao.set_callback] Callback definido: None [_log | meu_logger]
2025-06-25 14:57:07,890 - INFO - [RodapePaginacao.__init__] RodapePaginacao inicializado [_log | meu_logger]
2025-06-25 14:57:07,891 - INFO - [ReceitasPageView.__init__] ReceitasPageView inicializada [_log | meu_logger]
2025-06-25 14:58:04,740 - INFO - [ReceitasPage.__init__] Iniciando ReceitasPage... [_log | meu_logger]
2025-06-25 14:58:04,743 - DEBUG - [RodapePaginacao.set_callback] Callback definido: None [_log | meu_logger]
2025-06-25 14:58:04,743 - INFO - [RodapePaginacao.__init__] RodapePaginacao inicializado [_log | meu_logger]
2025-06-25 14:58:04,744 - INFO - [ReceitasPageView.__init__] ReceitasPageView inicializada [_log | meu_logger]
2025-06-25 14:58:04,745 - DEBUG - [RodapePaginacao.set_callback] Callback definido: <bound method ReceitasPageController._handle_paginacao_receitas of <controller.receitas.receitas_page_controller.ReceitasPageController object at 0x00000255963A9E80>> [_log | meu_logger]
2025-06-25 14:58:04,745 - INFO - [ReceitasPage.__init__] ReceitasPageController criado com sucesso. [_log | meu_logger]
2025-06-25 15:08:39,898 - INFO - [ReceitasPage.__init__] Iniciando ReceitasPage... [_log | meu_logger]
2025-06-25 15:08:39,901 - INFO - [ReceitaBloco.__init__] Componente ReceitaBloco inicializado [_log | meu_logger]
2025-06-25 15:08:39,901 - DEBUG - [RodapePaginacao.set_callback] Callback definido: None [_log | meu_logger]
2025-06-25 15:08:39,901 - INFO - [RodapePaginacao.__init__] RodapePaginacao inicializado [_log | meu_logger]
2025-06-25 15:08:39,902 - INFO - [ReceitasPageView.__init__] ReceitasPageView inicializada [_log | meu_logger]
2025-06-25 15:08:39,903 - DEBUG - [RodapePaginacao.set_callback] Callback definido: <bound method ReceitasPageController._handle_paginacao_receitas of <controller.receitas.receitas_page_controller.ReceitasPageController object at 0x000001A977CBC620>> [_log | meu_logger]
2025-06-25 15:08:39,903 - INFO - [ReceitasPage.__init__] ReceitasPageController criado com sucesso. [_log | meu_logger]
2025-06-25 15:19:18,843 - INFO - [ReceitasPage.__init__] Iniciando ReceitasPage... [_log | meu_logger]
2025-06-25 15:19:18,846 - INFO - [ReceitasModel.__init__] ReceitasModel inicializado [_log | meu_logger]
2025-06-25 15:19:18,847 - INFO - [ReceitaBloco.__init__] Componente ReceitaBloco inicializado [_log | meu_logger]
2025-06-25 15:19:18,848 - DEBUG - [RodapePaginacao.set_callback] Callback definido: None [_log | meu_logger]
2025-06-25 15:19:18,848 - INFO - [RodapePaginacao.__init__] RodapePaginacao inicializado [_log | meu_logger]
2025-06-25 15:19:18,849 - DEBUG - [ReceitasPageView._initialize_components] Componentes básicos da view inicializados [_log | meu_logger]
2025-06-25 15:19:18,850 - DEBUG - [ReceitasPageView._setup_ui_elements] Elementos de busca configurados [_log | meu_logger]
2025-06-25 15:19:18,850 - INFO - [ReceitasPageView.__init__] ReceitasPageView inicializada [_log | meu_logger]
2025-06-25 15:19:18,851 - INFO - [ReceitasPageController.__init__] Inicializando ReceitasPageController [_log | meu_logger]
2025-06-25 15:19:18,851 - DEBUG - [ReceitasPageController._setup_callbacks] Configurando callbacks da view [_log | meu_logger]
2025-06-25 15:19:18,852 - DEBUG - [ReceitasPageView.set_on_buscar] Callback de busca configurado [_log | meu_logger]
2025-06-25 15:19:18,852 - DEBUG - [ReceitasPageView.definir_acoes_botoes_navBar] Callbacks definidos para navbar [_log | meu_logger]
2025-06-25 15:19:18,853 - DEBUG - [RodapePaginacao.set_callback] Callback definido: <bound method ReceitasPageController._handle_paginacao_receitas of <controller.receitas.receitas_page_controller.ReceitasPageController object at 0x000001B41F65BB00>> [_log | meu_logger]
2025-06-25 15:19:18,853 - DEBUG - [ReceitasPageView.definir_acoes_botoes_rodape] Callback definido para rodapé [_log | meu_logger]
2025-06-25 15:19:18,853 - INFO - [ReceitasPage.__init__] ReceitasPageController criado com sucesso. [_log | meu_logger]
2025-06-25 15:19:18,853 - DEBUG - [ReceitasPageController.exibir_view_receitas] Exibindo view inicial de receitas [_log | meu_logger]
2025-06-25 15:19:18,854 - DEBUG - [ReceitasPageView.create_view] Construindo a view completa de receitas [_log | meu_logger]
2025-06-25 15:19:53,697 - INFO - [ReceitasPageController._handle_busca_receita] Busca de receitas iniciada com o termo: '' [_log | meu_logger]
2025-06-25 15:19:53,698 - DEBUG - [ReceitasPageView.limpar_receitas] Limpando blocos de receitas da view [_log | meu_logger]
2025-06-25 15:19:53,698 - INFO - [ReceitasModel.buscar_receitas] Iniciando busca de receitas | Página: 1, Por página: 10, Filtro: '' [_log | meu_logger]
2025-06-25 15:19:54,313 - ERROR - [ReceitasModel.buscar_receitas] Erro ao buscar receitas: 'bool' object is not iterable [_log | meu_logger]
2025-06-25 15:19:54,314 - WARNING - [ReceitasPageController._handle_busca_receita] Nenhuma receita encontrada para o termo: '' [_log | meu_logger]
2025-06-25 15:20:03,897 - INFO - [ReceitasPageController._handle_busca_receita] Busca de receitas iniciada com o termo: '' [_log | meu_logger]
2025-06-25 15:20:03,898 - DEBUG - [ReceitasPageView.limpar_receitas] Limpando blocos de receitas da view [_log | meu_logger]
2025-06-25 15:20:03,898 - INFO - [ReceitasModel.buscar_receitas] Iniciando busca de receitas | Página: 1, Por página: 10, Filtro: '' [_log | meu_logger]
2025-06-25 15:20:03,912 - ERROR - [ReceitasModel.buscar_receitas] Erro ao buscar receitas: 'bool' object is not iterable [_log | meu_logger]
2025-06-25 15:20:03,912 - WARNING - [ReceitasPageController._handle_busca_receita] Nenhuma receita encontrada para o termo: '' [_log | meu_logger]
2025-06-25 15:23:15,476 - INFO - [ReceitasPage.__init__] Iniciando ReceitasPage... [_log | meu_logger]
2025-06-25 15:23:15,482 - INFO - [ReceitasModel.__init__] ReceitasModel inicializado [_log | meu_logger]
2025-06-25 15:23:15,483 - INFO - [ReceitaBloco.__init__] Componente ReceitaBloco inicializado [_log | meu_logger]
2025-06-25 15:23:15,484 - DEBUG - [RodapePaginacao.set_callback] Callback definido: None [_log | meu_logger]
2025-06-25 15:23:15,484 - INFO - [RodapePaginacao.__init__] RodapePaginacao inicializado [_log | meu_logger]
2025-06-25 15:23:15,484 - DEBUG - [ReceitasPageView._initialize_components] Componentes básicos da view inicializados [_log | meu_logger]
2025-06-25 15:23:15,485 - DEBUG - [ReceitasPageView._setup_ui_elements] Elementos de busca configurados [_log | meu_logger]
2025-06-25 15:23:15,486 - INFO - [ReceitasPageView.__init__] ReceitasPageView inicializada [_log | meu_logger]
2025-06-25 15:23:15,487 - INFO - [ReceitasPageController.__init__] Inicializando ReceitasPageController [_log | meu_logger]
2025-06-25 15:23:15,487 - DEBUG - [ReceitasPageController._setup_callbacks] Configurando callbacks da view [_log | meu_logger]
2025-06-25 15:23:15,488 - DEBUG - [ReceitasPageView.set_on_buscar] Callback de busca configurado [_log | meu_logger]
2025-06-25 15:23:15,488 - DEBUG - [ReceitasPageView.definir_acoes_botoes_navBar] Callbacks definidos para navbar [_log | meu_logger]
2025-06-25 15:23:15,488 - DEBUG - [RodapePaginacao.set_callback] Callback definido: <bound method ReceitasPageController._handle_paginacao_receitas of <controller.receitas.receitas_page_controller.ReceitasPageController object at 0x000002002C23F680>> [_log | meu_logger]
2025-06-25 15:23:15,489 - DEBUG - [ReceitasPageView.definir_acoes_botoes_rodape] Callback definido para rodapé [_log | meu_logger]
2025-06-25 15:23:15,489 - INFO - [ReceitasPage.__init__] ReceitasPageController criado com sucesso. [_log | meu_logger]
2025-06-25 15:23:15,489 - DEBUG - [ReceitasPageController.exibir_view_receitas] Exibindo view inicial de receitas [_log | meu_logger]
2025-06-25 15:23:15,490 - DEBUG - [ReceitasPageView.create_view] Construindo a view completa de receitas [_log | meu_logger]
2025-06-25 15:23:20,794 - INFO - [ReceitasPageController._handle_busca_receita] Busca de receitas iniciada com o termo: '' [_log | meu_logger]
2025-06-25 15:23:20,794 - DEBUG - [ReceitasPageView.limpar_receitas] Limpando blocos de receitas da view [_log | meu_logger]
2025-06-25 15:23:20,794 - INFO - [ReceitasModel.buscar_receitas] Iniciando busca de receitas | Página: 1, Por página: 10, Filtro: '' [_log | meu_logger]
2025-06-25 15:23:20,826 - ERROR - [ReceitasModel.buscar_receitas] Erro ao buscar receitas: 'bool' object is not iterable [_log | meu_logger]
